9,17,1985,1993,5686.1,6118.1,6118.1,5686.1
9,17,1984,1992,5906.3,5751.8,5751.8,5906.3
9,17,1983,1991,5869.2,5564.8,5564.8,5869.2
9,17,1982,1990,5062.4,5484.6,5484.6,5062.4
9,17,1981,1989,5532.4,5335.5,5335.5,5532.4
9,16,1981,1988,5857.7,5525.3,5525.3,5857.7
9,16,1980,1987,5701.2,5715.8,5715.8,5701.2
9,16,1979,1986,5164.7,5647.1,5647.1,5164.7
9,17,1977,1985,5315.1,5582.7,5582.7,5315.1
9,16,1977,1984,5591.2,5947.1,5947.1,5591.2
9,16,1976,1983,5806,6076.2,6076.2,5806
9,16,1975,1982,5510.6,6017.1,6017.1,5510.6
9,16,1974,1981,5003.9,5837.6,5837.6,5003.9
9,16,1973,1980,5273.4,6409.9,6409.9,5273.4
9,16,1972,1979,5736.6,6475.6,6475.6,5736.6
9,16,1971,1978,5620.9,6248,6248,5620.9
9,16,1970,1977,4905.2,5940.9,5940.9,4905.2
9,16,1969,1976,5391.9,5860.2,5860.2,5391.9
9,16,1968,1975,5554.7,6149,6149,5554.7
9,16,1967,1974,5540.1,6394.9,6394.9,5540.1
9,16,1966,1973,4942.5,6235.1,6235.1,4942.5
9,16,1965,1972,5098.2,6178.6,6178.6,5098.2
9,16,1964,1971,5279.5,6710.7,6710.7,5279.5
9,16,1963,1970,5548.1,6815.6,6815.6,5548.1
9,16,1962,1969,5314,6785.5,6785.5,5314
9,16,1961,1968,4772.5,6640.8,6640.8,4772.5
9,16,1960,1967,4966,7095.5,7095.5,4966
9,16,1959,1966,5317.4,7178.7,7178.7,5317.4
9,16,1958,1965,5308.3,7214,7214,5308.3
9,16,1957,1964,4634.5,6547.8,6547.8,4634.5
9,16,1956,1963,5047.8,6475.4,6475.4,5047.8
9,16,1955,1962,5131.1,6657.9,6657.9,5131.1
9,16,1954,1961,5195.3,6914,6914,5195.3
9,16,1953,1960,4679.1,6570.6,6570.6,4679.1
9,16,1952,1959,4794.8,6756.7,6756.7,4794.8
9,16,1951,1958,4880.1,7350.7,7350.7,4880.1
9,16,1950,1957,5138.6,7454.8,7454.8,5138.6
9,16,1949,1956,4965.2,7320,7320,4965.2
9,16,1948,1955,4564.7,7216,7216,4564.7
9,16,1947,1954,4729.1,7649.3,7649.3,4729.1
